timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:47:02.404000,62819,1,worker-1,2023-10-20,6,latency,8.945
2025-09-18T16:47:07.241000,62819,1,worker-1,2023-10-20,7,latency,4.836
2025-09-18T16:47:07.241000,62819,1,worker-1,2023-10-20,8,batches,8.000
2025-09-18T16:47:07.597000,62819,1,worker-1,2023-10-20,,max-rss,9.484
2025-09-18T16:47:07.609000,62817,,coordinator,,,max-rss,0.098
2025-09-18T16:47:10.572000,62820,2,worker-2,2023-10-18,56,latency,8.284
2025-09-18T16:47:16.236000,62819,1,worker-1,2023-10-21,0,latency,7.657
2025-09-18T16:47:19.045000,62820,2,worker-2,2023-10-18,57,latency,8.473
2025-09-18T16:47:24.331000,62819,1,worker-1,2023-10-21,1,latency,8.095
2025-09-18T16:47:27.508000,62820,2,worker-2,2023-10-18,58,latency,8.463
2025-09-18T16:47:32.479000,62819,1,worker-1,2023-10-21,2,latency,8.148
2025-09-18T16:47:35.745000,62820,2,worker-2,2023-10-18,59,latency,8.237
2025-09-18T16:47:41.144000,62819,1,worker-1,2023-10-21,3,latency,8.664
2025-09-18T16:47:43.841000,62820,2,worker-2,2023-10-18,60,latency,8.093
2025-09-18T16:47:49.968000,62819,1,worker-1,2023-10-21,4,latency,8.824
2025-09-18T16:47:52.450000,62820,2,worker-2,2023-10-18,61,latency,8.609
2025-09-18T16:47:53.403000,62820,2,worker-2,2023-10-18,62,latency,0.953
2025-09-18T16:47:53.403000,62820,2,worker-2,2023-10-18,63,batches,63.000
2025-09-18T16:47:54.070000,62820,2,worker-2,2023-10-18,,max-rss,9.912
2025-09-18T16:47:54.260000,62817,,coordinator,,,max-rss,0.120
2025-09-18T16:47:57.425000,62819,1,worker-1,2023-10-21,5,latency,7.457
2025-09-18T16:48:02.469000,62820,2,worker-2,2023-10-22,0,latency,7.255
2025-09-18T16:48:03.978000,62819,1,worker-1,2023-10-21,6,latency,6.553
2025-09-18T16:48:03.978000,62819,1,worker-1,2023-10-21,7,batches,7.000
2025-09-18T16:48:04.388000,62819,1,worker-1,2023-10-21,,max-rss,9.510
2025-09-18T16:48:04.399000,62817,,coordinator,,,max-rss,0.122
2025-09-18T16:48:10.185000,62820,2,worker-2,2023-10-22,1,latency,7.716
2025-09-18T16:48:13.466000,62819,1,worker-1,2023-10-23,0,latency,7.847
2025-09-18T16:48:19.110000,62820,2,worker-2,2023-10-22,2,latency,8.924
2025-09-18T16:48:21.762000,62819,1,worker-1,2023-10-23,1,latency,8.296
2025-09-18T16:48:27.645000,62820,2,worker-2,2023-10-22,3,latency,8.535
2025-09-18T16:48:30.259000,62819,1,worker-1,2023-10-23,2,latency,8.497
